Mouse_ID,Unique_ID,Sex,Line,Line_stock,Background_strain,Alleles,Genotype,Diet,Birth_Date,Age_Group,CFC_Test_0s_120s,CFC_Test_120s_240s,CFC_Test_240s_360s,CFC_Test_360s_480s,CFC_Test_480s_600s,CFC_Test_0s_600s,CFC_Train_0s_150s,CFC_Train_151s_191s,CFC_Train_295s_335s,CFC_Train_429s_469s,CFC_Train_574s_614s,CFC_Train_0s_700s,Frailty_Weight,Frailty_Alopecia,Frailty_Loss_of_fur_color,Frailty_Dermatitis,Frailty_Loss_of_whiskers,Frailty_Coat_Condition,Frailty_Piloerection,Frailty_Cataracts,Frailty_Eye_discharge_swelling,Frailty_Microphthalmia,Frailty_Corneal_opacity,Frailty_Nasal_discharge,Frailty_Rectal_prolapse,Frailty_penile_prolapse,Frailty_Diarrhea,Frailty_Body_condition,Frailty_Hind_Limb_Clasping,Frailty_Gait_disorders,Frailty_Menace_reflex,Frailty_Tremor,Frailty_Tumors,Frailty_Kyphosis,Frailty_Breathing_rate_depth,Frailty_Tail_stiffening,Frailty_Malocclusions,Frailty_Distended_abdomen,Frailty_Vestibular_disturbance,Frailty_Righting_Reflex,Frailty_Vision_loss_Visual_placing,Frailty_Index_Score,Frailty_Body_Temperature,Frailty_Notes,OF_Ambulatory_Activity_Count,OF_Ambulatory_Time,OF_Ambulatory_Episode_Count,OF_Margin_Distance,OF_Center_Distance,OF_Margin_Time,OF_Center_Time,OF_Clockwise_Revolutions,OF_Counter_Clockwise_Revolutions,OF_Stereotypic_Episode_Activity_Count,OF_Stereotypic_Activity_Count,OF_Stereotypic_Episode_Count,OF_Stereotypic_Time,OF_Movement_Episode_Count,OF_Movement_Time,OF_Total_Distance,OF_Rest_Time,OF_Rest_Episode_Count,RR_Test_Additional_Notes,RR_Test_Average_Latency_to_Fall,RR_Test_T1,RR_Test_T2,RR_Test_T3,RR_Test_T4,RR_Test_Notes,RR_Test_Experiment_Date,RR_Test_Assay,RR_Test_Age_at_Test_Days,RR_Test_Age_at_Test_Months,RR_Test_Unique_ID,RR_Train_Additional_Notes,RR_Train_Average_Latency_to_Fall,RR_Train_T1,RR_Train_T2,RR_Train_T3,RR_Train_T4,RR_Train_Notes,Ymaze_Total_Arm_Entries,Ymaze_Number_of_Spontaneous_Alternations,Ymaze_Alternation_Ratio,Ymaze_Latency_to_Leave_Start_Arm,Frailty_Integument,Frailty_Musculoskeletal,Frailty_Vesibular,Frailty_Ocular_Nasal,Frailty_Digestive_Urogenital
49093,hom_cohort8_49,Male,B6.Cg-Tardbp<em9Lutzy> Apoe<tm1.1(APOE*4)Adiuj>  Mapt<em2(V28) Psen1<em1 (M146LL286V)> App<em5(hAPPSwe)Msasn,34546,B6,App_Psen1_Mapt_Tardbp_Apoe,Hom,6% Extruded,8/2/2022,9,33.56,45.11,39.47,57.43,49.56,45.07,5.68,22.67,33.33,32,35.33,30.9,36.4,0,0.5,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,3,37.1,0,13019,225.19,26,4298.88,2209.29,2567,1033,22,25,9384,1378,575,206.53,597,2292.22,6508.16,1307.81,590,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21,8,42.10526316,3.57,2,1,0,0,0
49091,hom_cohort8_47,Male,B6.Cg-Tardbp<em9Lutzy> Apoe<tm1.1(APOE*4)Adiuj>  Mapt<em2(V28) Psen1<em1 (M146LL286V)> App<em5(hAPPSwe)Msasn,34546,B6,App_Psen1_Mapt_Tardbp_Apoe,Hom,6% Extruded,8/2/2022,9,46.89,60,63.41,75.39,7.78,50.71,0,2.67,18.67,38.67,62,35.16,35.1,0.5,0.5,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,3.5,37.2,"Subject was moving around observation arena a lot more than normal, but was taking abnormal steps.",15387,235.1,33,5660.66,2815.18,2788.28,811.72,47,19,10943,1308,571,174.36,568,2268.88,8475.83,1331.14,562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32,17,56.66666667,24.458,2.5,1,0,0,0
49117,hom_cohort8_45,Male,B6.Cg-Tardbp<em9Lutzy>Apoe<tm1.1(APOE*4) Aduuj> Psen1<em1>App<em5(hAppSwe)Msasn,34544,B6,App_Psen1_Tardbp_Apoe,Hom,6% Extruded,7/26/2022,9,67.18,57.78,68.22,69.11,44.99,61.47,0,2.67,6,10.67,38,20.8,35.6,0,0.5,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,2.5,36.8,0,10997,204.44,21,3952.84,1364.73,2858.56,741.45,18,16,7346,1377,558,229.16,691,2255.37,5317.59,1344.65,683,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,43,17,41.46341463,4.438,2,0.5,0,0,0
49092,hom_cohort8_48,Male,B6.Cg-Tardbp<em9Lutzy> Apoe<tm1.1(APOE*4)Adiuj>  Mapt<em2(V28) Psen1<em1 (M146LL286V)> App<em5(hAPPSwe)Msasn,34546,B6,App_Psen1_Mapt_Tardbp_Apoe,Hom,6% Extruded,8/2/2022,9,59.11,58.44,66.52,49.89,44.44,55.64,1.6,9.33,28,51.33,65.33,38.59,34.5,0,0.5,0,0,1,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,3,36.7,0,11289,187.68,26,3020.23,2395.97,2407.38,1192.63,27,15,8087,1605,616,268.83,701,2131.76,5416.21,1468.25,696,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,16,69.56521739,6.774,2,1,0,0,0
49131,hom_cohort8_96,Female,B6.Cg-Tardbp<em9Lutzy>Apoe<tm1.1(APOE*4) Aduuj> Psen1<em1>App<em5(hAppSwe)Msasn,34544,B6,App_Psen1_Tardbp_Apoe,Hom,6% Extruded,8/2/2022,9,33.48,54.89,60.22,60.67,35.94,49.04,0,15.33,22.67,42,69.33,32.3,35.5,0.5,0.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,2,37.6,NA,10432,194.64,19,3928.67,1817.35,3054.31,545.7,18,17,6784,1375,539,234.77,660,2055.2,5746.03,1544.81,652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,13,59.09090909,16.116,1.5,0.5,0,0,0
49132,hom_cohort8_97,Female,B6.Cg-Tardbp<em9Lutzy>Apoe<tm1.1(APOE*4) Aduuj> Psen1<em1>App<em5(hAppSwe)Msasn,34544,B6,App_Psen1_Tardbp_Apoe,Hom,6% Extruded,8/2/2022,9,10.2,18.44,16.44,42.67,18.53,21.25,0,0,5.33,17.33,24,17.26,24.6,0,0,0,1,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,37.8,NA,16094,217.42,18,5851.53,1760.76,3076.26,523.74,16,37,11930,1745,676,306.07,450,2633.14,7612.27,966.86,442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,46,17,38.63636364,3.07,2,0,0,0,0
49143,hom_cohort8_71,Female,B6.Cg-Tardbp<em9Lutzy>Apoe<tm1.1(APOE*4) Aduuj> Psen1<em1>App<em5(hAppSwe)Msasn,34544,B6,App_Psen1_Tardbp_Apoe,Hom,6% Extruded,7/26/2022,9,62.08,89.58,93.33,84.7,90,83.96,0.71,0,17.33,52,66.67,38.82,28.3,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,37.5,NA,10428,182.82,19,5043.9,1608.31,2983.44,616.56,23,22,6090,1105,418,176.15,755,1794.23,6652.21,1805.78,752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24,9,40.90909091,2.402,1,0,0,0,0
49116,hom_cohort8_44,Male,B6.Cg-Tardbp<em9Lutzy>Apoe<tm1.1(APOE*4) Aduuj> Psen1<em1>App<em5(hAppSwe)Msasn,34544,B6,App_Psen1_Tardbp_Apoe,Hom,6% Extruded,7/26/2022,9,41.69,76.67,79.33,53.78,88.2,67.91,0,0,0,0,0,0,34.6,0,0.5,0,0.5,1,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,3,36.7,0,10895,192.39,20,3754.69,1661.06,2867.48,732.55,14,30,7436,1523,603,250.95,661,2180.51,5415.78,1419.5,656,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38,14,38.88888889,18.852,2.5,0.5,0,0,0
49108,hom_cohort8_79,Female,B6.Cg-Tardbp<em9Lutzy> Apoe<tm1.1(APOE*4)Adiuj>  Mapt<em2(V28) Psen1<em1 (M146LL286V)> App<em5(hAPPSwe)Msasn,34546,B6,App_Psen1_Mapt_Tardbp_Apoe,Hom,6% Extruded,8/2/2022,9,20.4,43.56,62.97,50.11,16.67,38.8,0,0,6,0,3.33,12.5,27.3,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,2,37.5,NA,11551,206.52,21,4431.72,2321.96,2657.79,942.21,25,22,7062,1146,466,218.43,710,2111.83,6753.68,1488.17,704,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37,12,34.28571429,4.205,1,1,0,0,0
49106,hom_cohort8_77,Female,B6.Cg-Tardbp<em9Lutzy> Apoe<tm1.1(APOE*4)Adiuj>  Mapt<em2(V28) Psen1<em1 (M146LL286V)> App<em5(hAPPSwe)Msasn,34546,B6,App_Psen1_Mapt_Tardbp_Apoe,Hom,6% Extruded,8/2/2022,9,49.89,78.67,94.24,92.02,96,82.13,0,0,23.33,44,58.67,27.6,28.4,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,1,37.9,NA,12053,217.21,21,4720.8,2284.57,2737.32,862.69,16,21,7583,1382,562,236.4,661,2243.45,7005.35,1356.57,652,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,18,54.54545455,2.736,0.5,0,0,0.5,0
